B     N1      N2         N3             N4
168  10025  44349460  74967255933   92988384341
169  10045  44525394  75413520041   93541944279
170  10065  44700983  75859765834   94095522877
171  10084  44875968  76305993027   94649120680
172  10104  45050977  76752244127   95202694551
173  10124  45225541  77198486281   95756277813
174  10143  45399709  77644738470   96309851437
175  10162  45573381  78090995004   96863421212
176  10182  45747149  78537240244   97417002184
177  10201  45920329  78983474719   97970594510
178  10220  46093101  79429692801   98524203637
179  10239  46265614  79875955359   99077768547
180  10258  46437811  80322186272   99631365418
181  10277  46609737  80768440349   100184939396
182  10296  46781414  81214684969   100738523080
183  10315  46952751  81660942089   101292094604
184  10334  47123806  82107193835   101845671784
185  10352  47294159  82553425621   102399269627
186  10371  47464729  82999704918   102952819741
187  10390  47634832  83445944944   103506409593
188  10408  47804524  83892217672   104059967155
189  10427  47974056  84338463543   104613551733
190  10445  48143210  84784728522   105167117582
191  10463  48311906  85230991381   105720686009
192  10481  48480382  85677197557   106274311339
193  10500  48648878  86123442412   106827897969
194  10518  48816882  86569684361   107381487998
195  10536  48984532  87015936827   107935067864
196  10554  49151956  87462183930   108488653319
197  10572  49319063  87908427722   109042242402
198  10590  49485824  88354673519   109595829826
199  10607  49652276  88800916330   110149420546
200  10625  49818671  89247177302   110702993161
201  10643  49984763  89693441976   111256562377
202  10660  50150251  90139661096   111810177752
203  10678  50315917  90585939355   112363733809
204  10695  50480878  91032165813   112917342373
205  10713  50645989  91478437326   113470905731
206  10730  50810467  91924639628   114024538934
207  10748  50975036  92370920889   114578093086
208  10765  51139140  92817174593   115131675261
209  10782  51302917  93263428864   115685257196
210  10799  51466432  93709674796   116238847732
211  10816  51629719  94155923809   116792435415
212  10834  51792849  94602204229   117345991847
213  10851  51955721  95048432704   117899600483
214  10867  52118138  95494705491   118453165263
215  10884  52280527  95940947233   119006761115
216  10901  52442609  96387187141   119560359108
217  10918  52604518  96833456495   120113927828
218  10935  52766123  97279688910   120667533791
219  10951  52927144  97725904562   121221157102
220  10968  53088426  98172173023   121774727342
221  10985  53249363  98618424759   122328314652
222  11001  53409761  99064660839   122881918158
223  11018  53570261  99510932299   123435486181
224  11034  53730235  99957183349   123989075141
225  11051  53890220  100403427932  124542670556
226  11067  54049819  100849668934  125096269939
227  11083  54209083  101295886272  125649893321
228  11099  54368099  101742141071  126203479490
229  11116  54527326  102188394165  126757067152
230  11132  54686035  102634673200  127310629392
231  11148  54844420  103080928252  127864215939
232  11164  55002647  103527172740  128417813208
233  11180  55160639  103973416639  128971411301
234  11196  55318432  104419662767  129525007364
235  11212  55476040  104865930941  130078581566
236  11228  55633428  105312184120  130632170983
237  11244  55790503  105758440283  131185757729
238  11259  55947128  106204679954  131739361418
239  11275  56103962  106650939755  132292944767
240  11291  56260521  107097185583  132846542364
241  11307  56416732  107543444874  133400126846
242  11322  56572683  107989694861  133953720893
243  11338  56728608  108435964415  134507295398
244  11353  56884039  108882203723  135060900644
245  11369  57039591  109328449548  135614499251
246  11384  57194563  109774690842  136168102970
247  11400  57349696  110220912431  136721726232
248  11415  57504433  110667175134  137275308777
249  11430  57658812  111113423215  137828906302
250  11446  57813350  111559651763  138382523200
251  11461  57967483  112005923630  138936097185
252  11476  58121332  112452179184  139489687767
253  11491  58274969  112898446940  140043266359
254  11506  58428436  113344675274  140596884543
255  11521  58581710  113790925725  141150480803
256  11536  58734811  114237154066  141704099346
257  11552  58887784  114683396043  142257704380
258  11566  59040459  115129658721  142811289013
259  11581  59193063  115575931425  143364863690
260  11596  59345441  116022192128  143918450594
261  11611  59497639  116468447401  144472043108
262  11626  59649693  116914694801  145025643639
263  11641  59801464  117360936612  145579250042
264  11655  59952770  117807183558  146132851776
265  11670  60104293  118253459765  146686424031
266  11685  60255534  118699710580  147240021960
267  11699  60406291  119145936844  147793644925
268  11714  60557278  119592210307  148347220460
269  11729  60707922  120038438347  148900841761
270  11743  60858260  120484688130  149454441626
271  11758  61008577  120930957073  150008022351
272  11772  61158586  121377200516  150561628885
273  11786  61308256  121823407682  151115272035
274  11801  61458177  122269702734  151668827047
275  11815  61607579  122715939844  152222440521
276  11829  61756735  123162188385  152776042810
277  11844  61906157  123608464241  153329617517
278  11858  62055053  124054713503  153883219345
279  11872  62203763  124500954438  154436829686
280  11886  62352296  124947191271  154990444306
281  11900  62500679  125393417325  155544069855
282  11915  62649139  125839684062  156097654643
283  11929  62797261  126285945835  156651244734
284  11943  62945194  126732211479  157204831143
285  11957  63092919  127178457172  157758437711
286  11971  63240444  127624694064  158312053280
287  11985  63387807  128070928656  158865671311
288  11999  63534752  128517178696  159419274312
289  12012  63681855  128963398671  159972907221
290  12026  63828824  129409658475  160526500434
291  12040  63975617  129855904698  161080107404
292  12054  64122227  130302176749  161633688729
293  12068  64268530  130748391160  162187328001
294  12081  64414669  131194632703  162740940306
295  12095  64560827  131640890467  163294536370
296  12109  64706738  132087146358  163848134554
297  12122  64852321  132533373352  164401761964
298  12136  64998022  132979636805  164955352796
299  12149  65143163  133425884607  165508959840
300  12163  65288634  133872172952  166062526010
301  12176  65433467  134318394363  166616159753
302  12190  65578609  134764655072  167169753888
303  12203  65723146  135210934768  167723329642
304  12217  65867964  135657202503  168276917075
305  12230  66012289  136103435168  168830540072
306  12243  66156351  136549687735  169384143430
307  12257  66300781  136995979061  169937707660
308  12270  66444636  137442236050  170491306803
309  12283  66588314  137888497732  171044901430
310  12297  66732167  138334739787  171598515508
311  12310  66875652  138780983864  172152127933
312  12323  67018974  139227271628  172705696834
313  12336  67162100  139673512998  173259312325
314  12349  67305090  140119780203  173812902117
315  12362  67447915  140566015747  174366523735
316  12375  67590572  141012236423  174920160389
317  12388  67733131  141458508382  175473745858
318  12401  67875591  141904723428  176027388339
319  12414  68017866  142350981705  176580987774
320  12427  68160003  142797266575  177134560754
321  12440  68302076  143243493432  177688191811
322  12453  68443940  143689779221  178241764145
323  12466  68585712  144136031973  178795369608
324  12479  68727296  144582303592  179348956392
325  12492  68868748  145028571281  179902547238
326  12505  69010004  145474797500  180456179750
327  12517  69150892  145921078742  181009757608
328  12530  69291978  146367324445  181563370806
329  12543  69432908  146813608317  182116945991
330  12556  69573592  147259822206  182670591405
331  12568  69713969  147706084975  183224188247
332  12581  69854497  148152363562  183777769119
333  12594  69994658  148598608030  184331384477
334  12606  70134789  149044852360  184885000004
335  12619  70274898  149491124298  185438587944
336  12631  70414575  149937366196  185992206357
337  12644  70554435  150383670088  186545762592
338  12656  70693787  150829902609  187099390707
339  12669  70833409  151276166147  187652987534
340  12681  70972571  151722392423  188206622084
341  12694  71111827  152168642410  188760232828
342  12706  71250817  152614899169  189313837067
343  12718  71389541  153061169924  189867427576
344  12731  71528496  153507424289  190421034243
345  12743  71667070  153953715024  190974604922
346  12755  71805425  154399938316  191528243263
347  12768  71943913  154846226604  192081816474
348  12780  72082145  155292468893  192635435941
349  12792  72220149  155738719042  193189047776
350  12804  72357957  156184965459  193742663539
351  12816  72495687  156631186922  194296304334
352  12829  72633676  157077503843  194849849411
353  12841  72771236  157523755420  195403460262
354  12853  72908638  157970027242  195957051026
355  12865  73045912  158416289318  196510651664
356  12877  73183062  158862572447  197064231373
357  12889  73320066  159308817590  197617849214
358  12901  73456949  159755069906  198171460003
359  12913  73593735  160201345816  198725047295
360  12925  73730392  160647551135  199278705307
361  12937  73866946  161093829958  199832289918
362  12949  74003378  161540126233  200385857199
363  12961  74139699  161986361359  200939485740
364  12973  74275873  162432630679  201493080234
365  12985  74411905  162878887954  202046686915
366  12997  74547708  163325132242  202600306812
367  13008  74683351  163771406238  203153897162
